"Timestamp","How much have you currently spent?","How often do you play?","What are your spending habits?","When do you usually spend(orbs) on a banner? (just any given banner in general)","How fast do you complete quests","How do you go about getting orb rewards","Have you let pity rates over 4.25 die?","There's a new deal, you can buy a character you really want for a bulk sum of orbs, how many orbs are you willing to pay?"," Orb prices have decreased by 15% for a week, will you buy?","Your pity rate is 4.75 but this week orbs are 30% more expensive, will you buy?","Your pity rate is at 4.75 but the one time deals are $40 (USD) for 83 orbs or $36 for 75 orbs, what do you choose","Let's make a deal. You must spend $75 (USD) for 160 orb, but after you get a 5* any unused orbs from that $75 package disappear, do you buy?"
"2018/03/23 6:40:01 PM EST","< 100","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","","No","No","$40 (USD) for 83 orbs","No"
"2018/03/23 6:40:12 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Somewhere in the middle of a banner's lifetime","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","","No","No","No","No"
"2018/03/23 6:40:18 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","100","No","No","No","No"
"2018/03/23 6:40:40 PM EST","< 100","Every day","Spend at the beginning of the month, or some periodic time","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","Perhaps from 30-50","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 6:40:56 PM EST","2000 <","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","75","Yes","No","$36 for 75 orbs","No"
"2018/03/23 6:41:16 PM EST","2000 <","Every day","Spend at the beginning of the month, or some periodic time;Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","20","Yes","No","$36 for 75 orbs","No"
"2018/03/23 6:42:02 PM EST","100 - 500","Every day","Spend at the beginning of the month, or some periodic time;Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","40","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 6:44:14 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","50","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 6:44:43 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","50","No","No","No","No"
"2018/03/23 6:44:47 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","75","No","No","No","No"
"2018/03/23 6:46:35 PM EST","500 - 2000","Every day","Spend at the beginning of the month, or some periodic time","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 6:46:58 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","Yes","Yes","No","No","No"
"2018/03/23 6:47:19 PM EST","2000 <","Scattered, no real patter or content based","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No you will buy more orbs to break the pity rate","40","Yes","Yes","$36 for 75 orbs","No"
"2018/03/23 6:47:46 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","75-100","Yes","No","$36 for 75 orbs","No"
"2018/03/23 6:48:52 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","","","No","$36 for 75 orbs","No"
"2018/03/23 6:49:10 PM EST","< 100","Every day","Spend at the beginning of the month, or some periodic time;Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","69","No","No","No","No"
"2018/03/23 6:49:34 PM EST","< 100","Every day","Impulsively during some banner you are trying for","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","50","No","No","No","No"
"2018/03/23 6:50:27 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","75","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 6:50:42 PM EST","100 - 500","Every day","Spend at the beginning of the month, or some periodic time","Somewhere in the middle of a banner's lifetime","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","70","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 6:51:16 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","20","No","No","$36 for 75 orbs","No"
"2018/03/23 6:51:17 PM EST","< 100","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","100","No","No","No","No"
"2018/03/23 6:51:37 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","","No","No","No","No"
"2018/03/23 6:52:27 PM EST","2000 <","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","20","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 6:53:35 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","30","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 6:54:14 PM EST","100 - 500","Scattered, no real patter or content based","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","180","No","No","No","No"
"2018/03/23 6:55:10 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 6:56:06 PM EST","2000 <","Every day","Spend at the beginning of the month, or some periodic time","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","80 Orbs","Yes","No","$36 for 75 orbs","No"
"2018/03/23 6:57:24 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","20-50","Yes","No","$36 for 75 orbs","No"
"2018/03/23 6:58:40 PM EST","< 100","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","120","No","No","No","No"
"2018/03/23 6:59:40 PM EST","2000 <","Every day","Impulsively during some banner you are trying for","Somewhere in the middle of a banner's lifetime","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","100","Yes","No","$36 for 75 orbs","No"
"2018/03/23 6:59:46 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","50","Yes","No","$36 for 75 orbs","No"
"2018/03/23 6:59:47 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","After scoping out the other banners near the time frame","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","40","No","No","$40 (USD) for 83 orbs","No"
"2018/03/23 6:59:48 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","50","Yes","No","$36 for 75 orbs","No"
"2018/03/23 7:00:00 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Don’t even complete quests most of the time","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","20, or what would be closest to the 20-orb pack.","No","No","No","No"
"2018/03/23 7:00:14 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","40","No","No","No","No"
"2018/03/23 7:00:35 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","100","No","No","No","No"
"2018/03/23 7:02:09 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","80","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 7:02:28 PM EST","2000 <","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","50","No","No","No","No"
"2018/03/23 7:02:32 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","100","No","No","No","No"
"2018/03/23 7:03:16 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Spent but was not able to break pity rate","40","No","No","$36 for 75 orbs","No"
"2018/03/23 7:04:18 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","100","No","No","No","No"
"2018/03/23 7:05:39 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","30","No","No","No","No"
"2018/03/23 7:05:46 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","50","No","No","No","No"
"2018/03/23 7:06:50 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Spent but was not able to break pity rate","","No","No","No","No"
"2018/03/23 7:07:07 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Don’t even complete quests most of the time","Don't really care about orb quests, just get whatever pops up here and there","No, you've gotten lucky enough to break the pity rate naturally (without spending)","50","No","No","No","No"
"2018/03/23 7:07:40 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","75","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 7:08:47 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","300","Yes","No","$36 for 75 orbs","No"
"2018/03/23 7:09:35 PM EST","100 - 500","Every day","Spend at the beginning of the month, or some periodic time","At the last 3 days of a banner's life time","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","20","No","No","No","No"
"2018/03/23 7:09:42 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","150","No","No","$40 (USD) for 83 orbs","No"
"2018/03/23 7:10:13 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","23","Yes","No","No","No"
"2018/03/23 7:11:28 PM EST","0","Every other day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","20","No","No","No","No"
"2018/03/23 7:11:33 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Within the first 3 days, actively trying to complete them","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","","Yes","No","No","No"
"2018/03/23 7:11:56 PM EST","100 - 500","Every day","Spend at the beginning of the month, or some periodic time","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Don't really care about orb quests, just get whatever pops up here and there","Yes because you ran out of orbs","25","Yes","No","$36 for 75 orbs","No"
"2018/03/23 7:12:15 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","","No","No","No","No"
"2018/03/23 7:13:35 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","5","No","No","No","No"
"2018/03/23 7:15:21 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","20","Yes","No","$36 for 75 orbs","No"
"2018/03/23 7:16:22 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","20","No","No","No","No"
"2018/03/23 7:17:26 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","50","No","No","No","No"
"2018/03/23 7:19:55 PM EST","100 - 500","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Spent but was not able to break pity rate","0","No","No","No","No"
"2018/03/23 7:22:37 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","20","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 7:24:32 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No you will buy more orbs to break the pity rate","40","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 7:24:50 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","40","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 7:25:23 PM EST","2000 <","Every day","Impulsively during some banner you are trying for","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","200","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 7:26:41 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","50","Yes","Yes","$40 (USD) for 83 orbs","No"
"2018/03/23 7:28:31 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","100","Yes","Yes","$36 for 75 orbs","Yes"
"2018/03/23 7:30:22 PM EST","< 100","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","150","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 7:31:06 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","0","No","No","No","No"
"2018/03/23 7:31:28 PM EST","< 100","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","5","Yes","No","No","No"
"2018/03/23 7:31:35 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","Somewhere in the middle of a banner's lifetime","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","0","No","No","No","No"
"2018/03/23 7:35:04 PM EST","< 100","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","8","Yes","No","$40 (USD) for 83 orbs","Yes"
"2018/03/23 7:35:56 PM EST","100 - 500","Every day","Spend at the beginning of the month, or some periodic time","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","40","Yes","No","$36 for 75 orbs","No"
"2018/03/23 7:36:14 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Spent but was not able to break pity rate","100","Yes","No","$36 for 75 orbs","No"
"2018/03/23 7:36:37 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","0","No","No","No","No"
"2018/03/23 7:37:12 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","200","No","No","No","No"
"2018/03/23 7:39:28 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","50","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 7:40:19 PM EST","0","Scattered, no real patter or content based","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Don’t even complete quests most of the time","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Spent but was not able to break pity rate","30","No","No","$40 (USD) for 83 orbs","No"
"2018/03/23 7:40:24 PM EST","100 - 500","Every day","Spend at the beginning of the month, or some periodic time","At the last 3 days of a banner's life time","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","20","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 7:41:16 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","40","No","No","No","No"
"2018/03/23 7:44:49 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","70","Yes","No","$36 for 75 orbs","No"
"2018/03/23 7:44:53 PM EST","100 - 500","Scattered, no real patter or content based","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","150","No","No","No","No"
